"","Quartile.1","Quartile.2","Quartile.3"
"Q1",3.71,3.83,3.94
"Q2",3.5,3.67,3.78
"Q3",3.36,3.5,3.8
"Q4",3.28,3.5,3.81
"Q5",3.64,3.75,3.88
"Q6",3.46,3.67,3.77
"Q7",3.67,3.87,4
"Q8",3.63,3.75,3.83
"Q9",3.44,3.63,3.83
"Q10",3.58,3.75,3.86
