"","Quartile.1","Quartile.2","Quartile.3"
"Q1",3.76,3.85,3.9
"Q2",3.54,3.54,3.71
"Q3",3.37,3.4,3.63
"Q4",3.4,3.4,3.63
"Q5",3.24,3.24,3.69
"Q6",3.33,3.51,3.67
"Q7",3.81,3.81,3.95
"Q8",3.67,3.77,3.82
"Q9",3.37,3.37,3.7
"Q10",3.5,3.52,3.88
