"","Quartile.1","Quartile.2","Quartile.3"
"Q1",3.73,3.85,3.93
"Q2",3.44,3.67,3.8
"Q3",3.29,3.56,3.75
"Q4",3.46,3.73,3.81
"Q5",3.43,3.74,3.9
"Q6",3.29,3.65,3.83
"Q7",3.71,3.82,4
"Q8",3.58,3.78,3.85
"Q9",3.29,3.53,3.82
"Q10",3.58,3.75,3.92
