"","Quartile.1","Quartile.2","Quartile.3"
"Q1",3.67,3.86,3.92
"Q2",3.4,3.57,3.77
"Q3",3.3,3.47,3.58
"Q4",3.33,3.55,3.72
"Q5",3.32,3.71,3.9
"Q6",3.3,3.56,3.67
"Q7",3.65,3.81,3.89
"Q8",3.53,3.67,3.81
"Q9",3.33,3.57,3.69
"Q10",3.47,3.71,3.83
