"","Quartile.1","Quartile.2","Quartile.3"
"Q1",3.63,3.82,3.91
"Q2",3.31,3.56,3.77
"Q3",3.25,3.44,3.64
"Q4",3.2,3.45,3.72
"Q5",3.32,3.63,3.86
"Q6",3.28,3.51,3.71
"Q7",3.71,3.81,3.91
"Q8",3.53,3.73,3.82
"Q9",3.27,3.53,3.75
"Q10",3.42,3.67,3.85
